input,output
['batterName | Albert_Pujols'],Albert Pujols began the game hoping to shake his slump and maybe get a hit.
"['batterName | Pujols', 'finalScore | 16-7', 'gameTally | 2-1', 'hasLostTeam | Texas_Rangers', 'hasWonTeam | St._Louis_Cardinals', 'hitNumber | five', 'homeRunNumber | three', 'matchDate | Saturday_night', 'pitchResult | homers', 'runNumber | six']","Pujols launched three impressive homers, drove in six runs and finished with five hits -- tying a Series record with each accomplishment -- as the St. Louis Cardinals romped past the Texas Rangers 16-7 on Saturday night for a 2-1 edge."
"['batterName | Babe_Ruth', 'competitionName | NL']",The three-time NL MVP matched Babe Ruth and Reggie Jackson for the most home runs in a game.
"['baseReachedNumber | 14', 'batterName | Pujols', 'pitchResult | singles', 'pitchResultNumber | two']",Pujols added two singles and set a Series mark with 14 total bases.
"['batterHitsTries | 0_for_7', 'strikingType | groundout', 'teamName | Texas']","And to think, his night began with a groundout that left him 0 for 7 against Texas."
"['batterName | Pujols', 'gameTally | 2', 'winLossType | loss']",The outburst by Pujols came a day after he was barbed by the media for not sticking around to talk about a Game 2 error and loss.
"['teamName | Cardinals', ""umpireName | Ron_Kulpa's"", 'umpireType | first_base']","The Cardinals mashed their way to the highest-scoring game in their storied postseason history, breaking away after first base umpire Ron Kulpa's admitted blown call."
['locationPlayed | St._Louis'],"After two taut games in St. Louis, this suddenly turned into a messy slugfest."
"['batterName | Pujols', 'inningNumber | four']","Pujols, the most feared slugger in the majors, was right in the middle -- he became the first player in Series history to get hits in four straight innings."
['batterName | Pujols'],So much for any worries about Pujols making a dent.
"['inningNumber | fourth', ""pitcherName | Kulpa's"", 'scoreNumber | four', 'scoreTally | 5-0', 'teamName | Cardinals', 'teamName | Texas']",Texas fans booed after Kulpa's miss helped the Cardinals score four times in the fourth for a 5-0 lead.
"['batterName | Pujols', 'locationPlayed | Rangers_Ballpark']","The crowd at Rangers Ballpark went silent when Pujols started swinging for the fences, and beyond."
"['inningNumber | sixth', 'runNumber | three-run', 'strikeTrajectory | left_field']",His three-run shot in the sixth rattled the windows of the club level in left field.
"['gameTally | 4', 'matchDate | Sunday_night', 'pitcherName | Derek_Holland', 'teamName | Rangers']","Game 4 is Sunday night, with Derek Holland starting for the Rangers against Edwin Jackson."
"['teamName | St._Louis', 'teamName | Texas']","It will be the back half of a St. Louis-Texas style doubleheader -- earlier in the day, the Rams play the Dallas Cowboys right across the parking lot."
"['gameNumber | two', 'hitNumber | 23', 'locationPlayed | Busch_Stadium', 'runNumber | 23']","The teams combined for 23 runs and 28 hits -- at Busch Stadium, they teamed for eight runs and 23 hits in two games."
"['batterName | Pujols', 'batterName | Ruth', 'homeRunNumber | three']","Pujols joined Ruth, who hit three homers in games against the Cardinals in 1926 and 1928, and Jackson's three-homer show against the Dodgers in 1977."
"['RBI | six', 'batterName | Bobby_Richardson', ""batterName | Pujols'""]",Pujols' six RBIs matched Bobby Richardson in 1960 and Hideki Matsui in 2009.
"['batterName | Pujols', 'matchDate | 1982']","Oh, Pujols also matched the Series mark for hits in a game set by Paul Molitor in 1982."
"['batterName | Allen_Craig', 'pitchResult | homered', 'runNumber | four']",Good-luck charm Allen Craig homered for St. Louis and Yadier Molina drove in four runs.
"['scoreNumber | four', 'scoreNumber | four', 'teamName | Cardinals']","The Cardinals broke it open by scoring four times in the fourth, three more in the fifth and four in the sixth."
"['batterName | Adrian_Beltre', 'hitNumber | four', 'runNumber | four', 'teamName | Texas']","Adrian Beltre kept mashing for the Texas, getting four hits and driving in four runs."
['batterName | Pujols'],"Pujols, however, showed exactly why he is the most prized free agent of all going into this winter."
"['outNumber | two', 'pitchResult | solo_shot', 'pitcherName | Alexi_Ogando', 'runNumber | two-run']","The big slugger connected off Alexi Ogando in the sixth, hit a two-run drive off Mike Gonzalez in the seventh and tagged Darren Oliver for a solo shot with two outs in the ninth."
"['presidentName | Nolan_Ryan', 'teamName | Rangers']","By the end, Rangers president Nolan Ryan was rubbing his forehead and it was hard to keep track of all the hits."
"['fielderName | Matt_Holliday', 'fielderPosition | left_fielder', 'inningNumber | seventh', 'strikingType | fly_ball', 'teamName | Rangers']","In the seventh, a fan wearing a Rangers shirt threw a ball toward St. Louis left fielder Matt Holliday as he was preparing to catch a fly ball."
"[""umpireName | Kulpa's""]","Early in the game, it appeared Kulpa's call would be the focal point."
"['batterName | Pujols', 'inningNumber | fourth', 'pitchResult | single', 'scoreTally | 1-0', 'teamName | Cardinals']",The Cardinals led 1-0 when Pujols led off the fourth with a single.
"['baseNumber | first', 'batterName | Holliday', 'pitchResult | double-play', 'umpireName | Kulpa']","Holliday followed with a perfect double-play ball, but was ruled safe by Kulpa at first."
"['batterName | Holliday', 'fielderPosition | part-time_first_baseman', 'throwDirection | high_toss']",Replays clearly show part-time first baseman Mike Napoli caught second baseman Ian Kinsler's high toss and slapped a tag on Holliday before he reached the bag.
"['batterName | Holliday', 'umpireName | Kulpa']",Kulpa said he thought Holliday beat the tag.
['teamName | Rangers'],"The Rangers argued, to no avail."
"['fielderName | Napoli', 'runNumber | two', 'scoreNumber | four', 'teamName | Cardinals', 'throwDirection | wide_to_the_plate']","The Cardinals quickly scored four times, helped when Napoli threw wide to the plate for an error that let two runs cross."
"['teamName | St._Louis', 'teamName | Texas', 'umpireName | Kulpa']","Texas fans booed as replays of the bad call circulated -- they won't be happy to learn, either, that Kulpa was born, raised and lives in the St. Louis area."
['teamName | Cardinals'],"For the Cardinals, perhaps it was a little evening up, albeit many years later."
"['baseNumber | first', 'matchDate | 1985', 'teamName | St._Louis', ""umpireName | Don_Denkinger's""]",The call came four days before the anniversary of umpire Don Denkinger's missed call at first base in the 1985 World Series that severely cost St. Louis.
"['fielderPosition | Starters', 'inningNumber | fourth', 'pitcherName | Kyle_Lohse', 'teamName | St._Louis']",Starters Kyle Lohse of St. Louis and Matt Harrison were both pulled in the fourth inning.
"['inningsPitched | 2_1/3', 'pitcherName | Harrison', 'pitcherName | Lance_Lynn']",Lance Lynn earned the win with 2 1/3 innings of relief and Harrison took the loss.
"['batterName | Bryce_Harper', 'batterName | Chris_Heisey', 'batterName | Oliver_Perez', 'fielderPosition | pitcher', 'inningNumber | 15th', 'inningNumber | 16th', 'inningNumber | ninth', 'pitchResult | homered', 'pitchResult | pinch-hit_home_run', 'scoreTally | tied_it', 'strikingType | bunt']","Bryce Harper tied it with a pinch-hit home run in the ninth inning, pitcher Oliver Perez put down a bunt in the 15th that kept the game going, and Chris Heisey homered in the 16th to end it."
"[""teamName | Nationals'""]","At 5 hours, 56 minutes, it was the longest regular-season game in Nationals' history."
"['batterName | Harper', 'homeRunNumber | first', 'inningNumber | ninth', 'pitchResult | connected', 'pitchResult | pinch-hit_homer', 'scoreTally | trailing_4-3', 'teamName | Washington']","Harper was supposed to have a day off, but he stepped up to lead off the ninth with Washington trailing 4-3 and connected for the first pinch-hit homer of his career."
"['baseNumber | second', 'batterName | Danny_Espinosa', 'inningNumber | 15th', 'outNumber | two-out', 'pitchResult | stole', 'pitchResult | walk', 'scoreTally | down_5-4', 'teamName | Nationals']",The Nationals were down 5-4 in the 15th when Danny Espinosa drew a two-out walk and stole second.
"['pitcherName | Perez', 'pitcherRecord | 1-0', 'strikeTrajectory | down_the_third-base_line', 'strikingType | bunted']","With no one else left to hit, Perez (1-0) batted for the first time since 2010 and bunted down the third-base line."
"['batterName | Espinosa', 'fielderName | John_Ryan_Murphy', 'fielderPosition | Catcher', 'pitchResult | score', 'pitchType | wildly', 'strikeTrajectory | past_first']","Catcher John Ryan Murphy picked up the ball but threw it wildly past first, which allowed Espinosa to score."
"['batterName | Heisey', 'gameNumber | three-game', 'pitchResult | homered', 'pitcherName | Michael_Tonkin', 'pitcherRecord | 1-1']",Heisey then homered off Michael Tonkin (1-1) to complete a three-game sweep.
"['batterName | Harper', 'batterName | Wilson_Ramos', 'fielderPosition | closer', 'homeRunNumber | ninth', 'inningNumber | eighth', 'inningNumber | ninth', 'pitchResult | double', 'pitchResult | homer', 'pitcherName | Kevin_Jepsen', 'runNumber | two-run', 'scoreTally | 4-3', 'teamName | Nationals', 'teamName | Twins']","After Wilson Ramos hit a two-run double in the eighth that drew the Nationals to 4-3, Harper launched his ninth homer of the season by tagging Twins closer Kevin Jepsen to open the ninth."
"['batterHitsTries | 1-for-16', 'batterName | Matt_den_Dekker', 'pitchResult | homered', 'pitchResult | stranded', 'pitchResultNumber | 14', 'teamName | Nationals']","Matt den Dekker also homered for the Nationals, who stranded 14 and went 1-for-16 with runners in scoring position."
"['batterName | Byron_Buxton', 'batterName | Eduardo_Rosario', 'batterName | Miguel_Sano', 'hasLostTeam | Twins', ""matchDate | Saturday's"", 'strikeOutNumber | 18', 'strikeOutNumber | 20', 'strikeOutNumber | four', 'winLossType | loss']","The Twins struck out 18 times in Saturday's loss, and in this one, they fanned 20 times, including four apiece by Miguel Sano, Eduardo Rosario and Byron Buxton."
"['batterName | Sano', 'inningNumber | 15th', 'pitchResult | single', 'scoreTally | go-ahead']",Sano hit a go-ahead single in the 15th.
"['batterName | Espinosa', 'battersFacedNumber | two', 'pitchNumber | four-pitch', 'pitchResult | retired', 'pitchResult | walk', ""pitcherName | Ryan_O'Rourke"", 'teamName | Nationals']","The Nationals rallied against Ryan O'Rourke, who retired the first two batters before issuing a four-pitch walk to Espinosa."
"['batterName | Espinosa', 'batterName | Perez', 'fielderName | Murphy', 'pitchResult | stole', 'strikingType | bunted']","After Espinosa stole, Perez bunted and Murphy seemed to have time to make the play."
"['baseNumber | second', 'batterName | Perez', 'batterName | Perez', ""fielderName | Murphy's"", 'pitchResult | error', 'strikingType | bunt', 'throwDirection | sailed_into_right_field']",But Murphy's throw sailed into right field for an error and put Perez on second to set up the Perez bunt.
"['batterName | Joe_Mauer', 'battersFacedNumber | 16', 'fielderPosition | pinch-hitter', 'inningNumber | eighth', 'outNumber | one', 'pitchResult | singled', 'pitcherName | Strasburg', 'strikeOutNumber | 15']",Strasburg retired 15 of 16 batters until pinch-hitter Joe Mauer singled with one out in the eighth.
"['batterName | Brian_Dozier', 'batterName | Eduardo_Nunez', 'pitchResult | homered', ""pitcherName | Strasburg's"", 'pitchesTotalThrown | 114th', 'strikeTrajectory | deep_into_the_left-field_seats', 'strikeTrajectory | high', 'strikingType | chopper']","After Eduardo Nunez beat a high chopper, Brian Dozier homered deep into the left-field seats on Strasburg's 114th and final pitch."
"['hitNumber | seven', 'inningsPitched | 7_1/3', 'pitcherName | Strasburg', 'strikeOutNumber | 10', 'walkNumber | none']","Strasburg struck out 10, walked none and allowed seven hits over 7 1/3 innings."
"['startsNumber | 23rd', 'strikeOutNumber | at_least_10']",It was his 23rd career outing with at least 10 strikeouts.
"['batterName | den_Dekker', 'fielderPosition | starter', 'inningNumber | fifth', 'pitcherName | Tyler_Duffey', 'strikeTrajectory | in_the_upper_right_arm', 'strikingType | line_drive', 'teamName | Minnesota']",Minnesota starter Tyler Duffey left in the fifth inning after being struck in the upper right arm by a line drive off the bat of den Dekker.
"['injuryType | scratched_with_a_sore_lower_back', 'pitcherName | Duffey', 'pitcherName | Ervin_Santana']","Duffey was summoned from the minors to pitch for Ervin Santana, who was scratched with a sore lower back."
"['batterName | den_Dekker', 'hitNumber | five', 'pitchResult | home', 'pitcherName | right-hander', 'runNumber | one']",The right-hander allowed one run -- a leadoff home by den Dekker -- and five hits.
['batterName | Willie_Harris'],PHOENIX (AP) -- Willie Harris picked a good time to snap out of a slump.
"['batterName | Harris', 'finalScore | 7-4', 'hasLostTeam | Arizona_Diamondbacks', 'hasWonTeam | Washington_Nationals', 'matchDate | Friday_night', 'pitchResult | homer', 'runNumber | three-run', 'scoreTally | tiebreaking', 'winLossType | victory']",Harris hit a tiebreaking three-run homer to lift the Washington Nationals to a 7-4 victory over the Arizona Diamondbacks on Friday night.
"['atBatNumber | 18', 'batterName | Harris', 'hitNumber | one', 'inningNumber | seventh', 'outNumber | one', 'pitchCount | 0-1', 'pitchResult | connected', 'pitchType | fastball', 'pitcherName | Micah_Owings', 'pitcherRecord | 6-3', 'scoreTally | 6-3', 'teamName | Nationals']",Harris had one hit in his previous 18 at-bats before he connected on an 0-1 fastball from Micah Owings (6-3) with one out in the seventh to put the Nationals in front 6-3.
"['batterName | Harris', 'homeRunNumber | second', 'strikeTrajectory | right_field', 'strikingType | drive']",The drive to right field was Harris' second homer.
['batterName | Harris'],"Asked if he knew how many career homers he has, Harris smiled and replied, ""Eight."""
"['batterName | Harris', 'homeRunNumber | nine']","When told it was actually nine, Harris raised his arms above his head in mock exultation."
"['atBatNumber | two', 'batterName | Harris', 'batterName | Rob_Mackowiak', 'battingAverage | .143-hitting', 'pitchResult | hit', 'pitchResult | homer', 'pitchResult | struck_out', 'pitcherName | Owings', 'pitcherRecord | 6-3']","Harris' homer capped a rally that began when Owings (6-3) hit .143-hitting Rob Mackowiak, who had struck out his first two trips."
"['batterName | Elijah_Dukes', 'batterName | Harris', 'pitchResult | single', 'strikingType | drive']",A single by Elijah Dukes set the stage for Harris' clutch drive.
"['batterName | Harris', 'managerName | Manny_Acta', 'teamName | Nationals']",Nationals manager Manny Acta said Harris hadn't gotten down during his slump.
"['inningNumber | ninth', 'pitcherName | Joel_Hanrahan', 'pitcherName | Jon_Rauch', 'pitcherRecord | 1-2', 'pitcherSaveRecord | 10th_in_a_row', 'pitcherSaveRecord | 12th_save_in_14_chances', 'scoreNumber | scoreless']","Joel Hanrahan (1-2) threw 1 2-3 scoreless innings, and Jon Rauch pitched the ninth for his 12th save in 14 chances and his 10th in a row."
"['batterName | Chad_Tracy', 'batterName | Orlando_Hudson', 'pitchResult | solo_homers', 'teamName | Diamondbacks', 'winLossRecord | five_straight', 'winLossType | lost']","Orlando Hudson and Chad Tracy hit solo homers for the Diamondbacks, who have lost five straight."
"['matchDate | July_4-8', 'winLossRecord | five_in_a_row']",It's their longest skid since they dropped five in a row last July 4-8.
"['gameNumber | six-game', 'homeAway | homestand', 'teamName | Diamondbacks', 'teamName | San_Francisco', 'teamName | Washington']",The Diamondbacks had hoped to regain their swagger in a six-game homestand against San Francisco and Washington.
"['matchDate | Saturday_night', 'pitcherName | Brandon_Webb', 'winLossRecord | first_four', 'winLossType | dropped']",But they've dropped the first four games and will ask ace Brandon Webb to stop the slide on Saturday night.
"['competitionName | NL_West', 'standingsGames | 2_1/2', 'teamName | Arizona', 'teamName | Los_Angeles_Dodgers', 'winLossRecord | nine_of_its_last_11_games', 'winLossType | lost']",Arizona has lost nine of its last 11 games overall and its NL West has dwindled to 2 1/2 games over the Los Angeles Dodgers.
"['batterName | Jesus_Flores', 'inningNumber | second', 'inningsPitched | seven', 'pitchResult | being_hit_in_the_head', 'pitchResult | single', 'pitchResultNumber | twice', 'runNumber | two-run', 'scoreTally | 2-0', 'teamName | Nationals']","The Nationals took a 2-0 lead in the second on a two-run single by Jesus Flores, who left after seven innings after twice being hit in the head with foul tips."
['fielderPosition | catcher'],The team said the catcher was experiencing headaches and nausea.
"['ERA | 6.30', 'pitcherName | Redding', 'pitcherRecord | 0-5', 'teamName | Arizona']",Redding entered 0-5 lifetime with a 6.30 ERA against Arizona.
"['batterName | Owings', 'inningsPitched | three', 'teamName | Diamondbacks', 'walkNumber | a']","But he dominated the Diamondbacks early, allowing only a walk to Owings in the first three innings."
"['batterName | Hudson', 'inningNumber | fourth', 'pitchCount | 1-0', 'pitchResult | hit', 'pitcherName | Redding', 'scoreTally | 2-1', 'strikeTrajectory | out_to_right', 'teamName | Arizona', ""teamName | Washington's""]","Arizona finally got to Redding in the fourth, when Hudson hit a 1-0 pitch out to right to cut Washington's lead to 2-1."
"['inningNumber | fifth', 'teamName | Diamondbacks']",The Diamondbacks tied it in the fifth.
"['batterName | Chris_Young', 'batterName | Jeff_Salazar', 'batterName | Owings', 'batterName | Stephen_Drew', 'pitchResult | scored', 'pitchResult | singles', 'pitchResult | walk', 'strikingType | sacrifice_fly']","Jeff Salazar drew a leadoff walk, moved up on singles by Owings and Chris Young and scored on Stephen Drew's sacrifice fly."
"['batterName | Cristian_Guzman', 'batterName | Dmitri_Young', 'batterName | Lastings_Milledge', 'inningNumber | sixth', 'pitchResult | run', 'pitchResult | singles', 'pitcherName | Owings', 'strikeTrajectory | center', 'strikingType | sacrifice_fly']",Owings gave the run back in the sixth on singles by Cristian Guzman and Dmitri Young and Lastings Milledge's sacrifice fly to center.
"['hitNumber | eight', 'inningsPitched | 6_2/3', 'pitcherName | Owings', 'runNumber | six']",Owings gave up six runs and eight hits in 6 2/3 innings.
"['hitNumber | two', 'strikeOutNumber | six', 'walkNumber | none']","He struck out six, hit two and walked none."
"['RBI | single', 'batterName | Chris_Snyder', 'inningNumber | sixth', 'teamName | Arizona']",Chris Snyder hit an RBI single in the sixth for Arizona but the game wasn't tied for long.
"['batterName | Harris', 'pitchType | fastball_over_the_middle_of_the_plate', 'pitcherName | Owings', 'strikeTrajectory | over_the_right-field_fence', 'strikingType | lined']",Owings left a fastball over the middle of the plate and Harris lined it over the right-field fence.
"['hitNumber | four', 'inningsPitched | 5_1/3', 'pitcherName | Redding', 'runNumber | three']","Redding went 5 1/3 innings, allowing three runs and four hits."
"['strikeOutNumber | one', 'walkNumber | five']",He walked five and struck out one.
"['locationPlayed | Chase_Field', 'teamName | New_York_Mets']",PHOENIX --  Nothing like a trip to Chase Field to turn things around for the New York Mets.
"['finalScore | 5-2', 'gameNumber | three-game', 'hasLostTeam | Arizona_Diamondbacks', 'hasWonTeam | Mets', 'hitNumber | three', 'inningsPitched | seven', 'matchDate | Wednesday', 'pitcherName | Dillon_Gee', 'scoreNumber | scoreless']","Dillon Gee allowed three hits in seven scoreless innings, and the Mets beat the Arizona Diamondbacks 5-2 Wednesday to complete a three-game sweep."
"['homeAway | home', 'teamName | Arizona', 'winLossRecord | 0-6', 'winLossRecord | 1-11', 'winLossType | losses']","Arizona finished an 0-6 homestand in which it led at the end of just one inning and dropped to 1-11 in home games, including a pair of losses in Australia that started the season."
"['gameNumber | 18-game', 'teamName | Diamondbacks', 'winLossRecord | 4-14']","At 4-14, the Diamondbacks are off to their worst 18-game start."
"[""batterName | Martin_Prado's"", 'battersFacedNumber | 14', 'pitchResult | double', 'pitchResult | retired', 'pitcherName | Gee', 'pitcherRecord | 1-0', 'strikeTrajectory | down_the_left-field_line']",Gee (1-0) retired his first 14 batters before Martin Prado's double down the left-field line.
"['pitchesTotalThrown | 72', 'strikeOutNumber | three', 'walkNumber | none']","He struck out three, walked none and threw 72 pitches."
"['RBI | groundout', ""batterName | Gerardo_Parra's"", 'fielderName | Kirk_Nieuwenhuis', 'fielderPosition | centerfielder', 'inningNumber | sixth', 'pitcherName | Gee', 'strikingType | blooper']",Gee also had an RBI groundout and made a nice play in the sixth after centerfielder Kirk Nieuwenhuis failed in a diving attempt to catch Gerardo Parra's blooper.
"['baseNumber | second', 'batterName | Parra', 'fielderName | Ruben_Tejada', 'fielderPosition | shortstop', 'pitchResult | out', 'pitcherName | Gee']","Parra took off for second and Gee, seeing no one covering the base, rushed to the bag and tagged the runner out on the throw from shortstop Ruben Tejada."
"['inningsPitched | six', 'pitcherName | Gee', 'startsNumber | 26']",Gee pitched at least six innings for the 24th time in his last 26 starts.
"['managerName | Terry_Collins', 'pitcherName | Gee', 'teamName | Mets']",Mets manager Terry Collins said he pulled Gee after a couple of pitches were hit hard off him.
"['batterName | Recker', 'pitchResult | solo_homer', 'pitcherName | McCarthy']",Recker hit a solo homer off McCarthy.
"['inningNumber | ninth', 'runNumber | two', 'teamName | Mets']",Two errors led to the final two Mets runs in the ninth.
"['locationPlayed | Chase_Field', 'teamName | New_York', 'winLossRecord | 6-3', 'winLossRecord | five', 'winLossRecord | four_of_five', 'winLossType | winning', 'winLossType | won']","New York has won four of five and went 6-3 on its trip, extending its Chase Field winning streak to five."
"[""teamName | Diamondbacks'""]","Starting pitching has been the biggest problem in the Diamondbacks' skid, but not this time."
"['hitNumber | nine', 'inningsPitched | 5_2/3', 'pitcherName | McCarthy', 'pitcherRecord | 0-3', 'runNumber | three', 'walkNumber | three', 'walkNumber | two']","McCarthy (0-3) gave up three runs, nine hits and three walks -- two intentional -- in 5 2/3 innings."
"['batterName | Aaron_Hill', 'batterName | Paul_Goldschmidt', 'batterName | Prado', 'hitNumber | three', 'inningNumber | ninth', 'pitchResult | homered', 'pitcherName | Jose_Valverde', 'teamName | Diamondbacks']","Aaron Hill and Paul Goldschmidt homered off Jose Valverde in the ninth, and Prado had three hits for the Diamondbacks."
"['RBI | RBI', ""batterName | Gee's"", 'batterName | Nieuwenhuis', 'batterName | Recker', 'inningNumber | fourth', 'inningNumber | second', 'inningNumber | sixth', 'pitchResult | homered', 'scoreTally | 3-0', 'strikingType | sacrifice_fly']","Recker homered in the second, Nieuwenhuis had a sacrifice fly in the fourth and Gee's RBI made it 3-0 in the sixth."
"['batterName | Goldschmidt', 'batterName | Miguel_Montero', 'fielderName | Andrew_Brown', 'inningNumber | seventh', 'outNumber | one', 'pitchResult | caught', 'pitchResult | doubled', 'strikeTrajectory | off_the_center-field_wall', 'strikeTrajectory | to_right', 'strikingType | drive']","When Goldschmidt doubled off the center-field wall with one out in the seventh, Miguel Montero hit a drive to right that Andrew Brown caught with a leap at the fence."
"['batterName | Goldschmidt', 'batterName | Mark_Trumbo', 'strikeTrajectory | to_shortstop', 'strikingType | grounded_out_weakly']",Goldschmidt was stranded when Mark Trumbo grounded out weakly to shortstop.
['winLossType | victory'],BOSTON -- The victory was overshadowed by two injuries.
['teamName | Boston_Red_Sox'],That's how things are going for the Boston Red Sox this season.
"[""batterName | David_Ortiz's"", 'finalScore | 5-1', 'hasLostTeam | Baltimore_Orioles', 'hasWonTeam | Red_Sox', 'inningNumber | sixth', 'matchDate | Wednesday_night', 'pitchResult | homer', 'runNumber | five-run', 'runNumber | two-run', 'winLossType | beat']",David Ortiz's two-run homer capped a five-run sixth inning and the Red Sox beat the Baltimore Orioles 5-1 on Wednesday night despite losing two starters to injuries.
