input,output
['maximumTemperature | low_30s'],Highs will reach low 30s.
"['locationArea | DETROIT', 'locationArea | Lenawee', 'locationArea | Monroe_counties', ""timePoint | Today's"", 'weatherIntensity | light', 'weatherType | snow', 'weatherType | winter_storm']","DETROIT – Today's winter storm has progressed exactly as expected, with light snow falling mainly in Lenawee and Monroe counties."
"['minimumTemperature | upper_teens_to_near_20_degrees', 'temperatureCelsius | (-8_to_-7_degrees_Celsius', 'timePoint | around,_or_a_little_after,_midnight', 'weatherType | snow']","Those getting snow will see those around, or a little after, midnight, with lows in the upper teens to near 20 degrees (-8 to -7 degrees Celsius)."
"['cloudChange | clear', 'timePoint | late_at_night']",Skies will begin to clear late at night.
"['timePoint | Sunday', 'weatherIntensity | mostly', 'weatherType | sunny']",It will be mostly sunny on Sunday and a great day to head to the Plymouth Ice Festival!
['maximumTemperature | low_30s'],Highs will be in the low 30s.
"['cloudAmount | varying_amounts_of_clouds', 'weatherType | quiet', 'weatherType | sun']","The week ahead looks relatively quiet, with varying amounts of clouds and sun."
['weatherType | snow'],Our next snow day will not be significant.
['timePoint | Wednesday'],It will be Wednesday and right now it appears that we won’t even see any accumulation.
"['maximumTemperature | mid_30s', 'timePoint | through_Wednesday']",Highs should be in the mid 30s through Wednesday.
"['snowAmount | minor', 'timePoint | Friday', 'timePoint | end_of_the_week', 'weatherIntensity | light', 'weatherType | snow']","The end of the week isn’t entirely clear, but some indications are coming into view that suggest we could see some light snow with minor accumulations on Friday."
"['locationArea | south_of_us', 'timePoint | Saturday']","Of bigger interest, however, is a system projected to develop and track just south of us on Saturday."
"['weatherType | snow_storm', 'windAmount | storm']","However, we will need to monitor this storm because it could be our best chance at a real snow storm so far this winter."
['weatherType | snow'],"Even though you are seeing lots of green when you look out your window, it has been cold enough for our local ski resorts to make snow, so the skiing is there for you if you love hitting the slopes."
"['locationArea | up_north', 'weatherType | snow']","And up north, they have been getting some natural snow from Mother Nature, so conditions are terrific up there."
"['cloudAmount | cloud', 'locationArea | Preston', 'timePoint | Monday_29_July', 'weatherType | sunshine']","The weather in Preston is set to be a mixed bag on Monday 29 July, with sunshine and cloud."
"['locationArea | town', 'timePoint | over_the_next_few_days', 'weatherIntensity | heavy', 'weatherType | rain', 'weatherType | thunder']","However, heavy rain and thunder are set to hit the town over the next few days."
"['locationArea | North_West', 'timePoint | Tuesday', 'weatherFrequency | spells', 'weatherType | showers', 'weatherType | sunny']",The Met Office forecast for the North West on Tuesday explains that there will be “A mix of sunny spells and showers.
"['weatherArea | in_places', 'weatherFrequency | often', 'weatherType | showers', 'weatherType | thundery_downpours', 'windAmount | windy']","Some of the showers will bring thundery downpours in places, and it will often be windy."
"['timePoint | Wednesday', 'timePoint | through_the_rest_of_the_week', 'weatherFrequency | spells', 'weatherIntensity | heavy', 'weatherType | Sunny', 'weatherType | showers', 'weatherType | thundery_downpours']","“Sunny spells and heavy showers through the rest of the week, with thundery downpours, especially on Wednesday.”"
"['locationArea | Preston', 'timePoint | this_morning']",What will the weather be like this morning in Preston?
"['cloudAmount | cloudy', 'timePoint | This_morning', 'timePoint | from_11am_onwards', 'weatherIntensity | bright', 'weatherType | sunshine']","This morning will begin cloudy, with bright sunshine from 11am onwards."
"['temperatureCelsius | 19C', 'timePoint | 12pm']",The temperature will reach 19C by 12pm.
"['locationArea | Preston', 'timePoint | this_afternoon']",What will the weather be like this afternoon in Preston?
"['cloudAmount | cloud', 'timePoint | This_afternoon', 'weatherFrequency | some_small_periods', 'weatherIntensity | mostly_bright', 'weatherType | sunshine']","This afternoon will then see mostly bright sunshine, with some small periods of cloud."
"['temperatureCelsius | 21C', 'timePoint | 3pm']",The temperature will reach its peak of 21C by 3pm.
"['locationArea | Preston', 'timePoint | this_evening_and_tonight']",What will the weather be like this evening and tonight in Preston?
"['cloudChange | turn_cloudier', 'timePoint | Early_evening', 'weatherType | dry']","Early evening will turn cloudier, but remain dry."
"['temperatureCelsius | 18C', 'temperatureChange | dip', 'timePoint | 11pm']",The temperature will dip to 18C by 11pm.
"['temperatureCelsius | 17C.', 'timePoint | Overnight']",Overnight temperature of 17C.
"['locationArea | Preston', 'timePoint | tomorrow']",What will the weather be like tomorrow in Preston?
"['cloudAmount | cloud', 'timePoint | Tomorrow', 'timePoint | during_the_afternoon', 'timePoint | during_the_morning', 'timePoint | late_morning', 'weatherIntensity | heavy', 'weatherIntensity | light', 'weatherType | rain', 'weatherType | showers']","Tomorrow is then set to see heavy showers during the morning, which will change to cloud by late morning, before light rain hits during the afternoon."
['maximumTemperature | 22C.'],Maximum temperature of 22C.
"['cloudAmount | cloudy', 'timePoint | Wednesday', 'timePoint | late_morning', 'weatherIntensity | heavy', 'weatherType | showers']","Wednesday will begin cloudy, changing to heavy showers by late morning."
"['timePoint | from_1pm_until_around_7pm', 'weatherType | Thunder_showers']",Thunder showers will then hit from 1pm until around 7pm.
"['locationArea | Preston', 'timePoint | long-term']",What is the long-term forecast for Preston?
"['locationArea | across_the_UK', 'locationArea | for_most_areas', 'timePoint | Friday', 'timePoint | Friday_2_August_to_Sunday_11_August_said', 'weatherIntensity | good_deal', 'weatherOccurringChance | chance', 'weatherOccurringChance | probably', 'weatherType | dry', 'weatherType | showers', 'weatherType | sunny']","The Met Office UK outlook for Friday 2 August to Sunday 11 August said: “Friday will see a chance of showers for most areas, but there will probably be a good deal of dry and sunny weather too across the UK."
"['locationArea | in_the_northwest', 'locationArea | northwest', 'locationArea | southeast', 'timePoint | Into_next_weekend', 'weatherOccurringChance | most_likely', 'weatherType | wettest', 'windAmount | windiest']","“Into next weekend we are then most likely going to see a northwest - southeast split develop, with the wettest and windiest weather in the northwest."
